[2022-12-13 11:22:15] [INFO   ] cannot read configuration file config.properties trying from resources.
[2022-12-13 11:22:15] [INFO   ] configuration file was loaded from resources directory.
[2022-12-13 11:22:16] [INFO   ] Thread dealer starting.
[2022-12-13 11:22:16] [SEVERE ] placing card 1 in slot 0
[2022-12-13 11:22:16] [SEVERE ] placing card 33 in slot 1
[2022-12-13 11:22:16] [SEVERE ] placing card 75 in slot 2
[2022-12-13 11:22:16] [SEVERE ] placing card 57 in slot 3
[2022-12-13 11:22:17] [SEVERE ] placing card 13 in slot 4
[2022-12-13 11:22:17] [SEVERE ] placing card 52 in slot 5
[2022-12-13 11:22:17] [SEVERE ] placing card 14 in slot 6
[2022-12-13 11:22:17] [SEVERE ] placing card 0 in slot 7
[2022-12-13 11:22:17] [SEVERE ] placing card 35 in slot 8
[2022-12-13 11:22:17] [SEVERE ] placing card 58 in slot 9
[2022-12-13 11:22:17] [SEVERE ] placing card 53 in slot 10
[2022-12-13 11:22:17] [SEVERE ] placing card 46 in slot 11
[2022-12-13 11:22:22] [SEVERE ] Key 80 was pressed by player 1
[2022-12-13 11:22:22] [SEVERE ] player 1 placing token on slot 3
[2022-12-13 11:22:22] [SEVERE ] player 1 placing token on slot 3
[2022-12-13 11:22:22] [SEVERE ] player 1 placing token on slot 3
[2022-12-13 11:22:23] [SEVERE ] Key 79 was pressed by player 1
[2022-12-13 11:22:24] [SEVERE ] Key 79 was pressed by player 1
[2022-12-13 11:22:25] [SEVERE ] Key 79 was pressed by player 1
[2022-12-13 11:22:25] [SEVERE ] Key 79 was pressed by player 1
[2022-12-13 11:22:25] [SEVERE ] Key 79 was pressed by player 1
[2022-12-13 11:22:25] [SEVERE ] Key 79 was pressed by player 1
[2022-12-13 11:22:26] [SEVERE ] Key 79 was pressed by player 1
[2022-12-13 11:22:26] [SEVERE ] Key 79 was pressed by player 1
[2022-12-13 11:22:26] [SEVERE ] Key 79 was pressed by player 1
[2022-12-13 11:22:29] [SEVERE ] Key 76 was pressed by player 1
[2022-12-13 11:22:31] [SEVERE ] Key 67 was pressed by player 0
[2022-12-13 11:22:31] [SEVERE ] player 0 placing token on slot 10
[2022-12-13 11:22:31] [SEVERE ] player 0 placing token on slot 10
[2022-12-13 11:22:31] [SEVERE ] player 0 placing token on slot 10
[2022-12-13 11:22:32] [SEVERE ] Key 86 was pressed by player 0
[2022-12-13 11:22:32] [SEVERE ] Key 67 was pressed by player 0
[2022-12-13 11:22:32] [SEVERE ] removing player 0 token from slot 10
[2022-12-13 11:22:33] [SEVERE ] Key 67 was pressed by player 0
[2022-12-13 11:22:33] [SEVERE ] removing player 0 token from slot 10
[2022-12-13 11:22:34] [SEVERE ] Key 67 was pressed by player 0
[2022-12-13 11:22:34] [SEVERE ] removing player 0 token from slot 10
[2022-12-13 11:22:34] [SEVERE ] Key 67 was pressed by player 0
[2022-12-13 11:22:34] [SEVERE ] player 0 placing token on slot 10
[2022-12-13 11:22:34] [SEVERE ] player 0 placing token on slot 10
[2022-12-13 11:22:34] [SEVERE ] player 0 placing token on slot 10
[2022-12-13 11:22:35] [SEVERE ] Key 88 was pressed by player 0
[2022-12-13 11:22:36] [SEVERE ] Key 88 was pressed by player 0
[2022-12-13 11:22:37] [SEVERE ] Key 88 was pressed by player 0
[2022-12-13 11:22:37] [SEVERE ] Key 88 was pressed by player 0
[2022-12-13 11:22:38] [SEVERE ] Key 88 was pressed by player 0
[2022-12-13 11:22:38] [SEVERE ] Key 88 was pressed by player 0
[2022-12-13 11:22:39] [SEVERE ] Key 83 was pressed by player 0
[2022-12-13 11:22:40] [SEVERE ] Key 83 was pressed by player 0
[2022-12-13 11:22:40] [SEVERE ] Key 68 was pressed by player 0
[2022-12-13 11:22:40] [SEVERE ] Key 68 was pressed by player 0
[2022-12-13 11:22:41] [SEVERE ] Key 68 was pressed by player 0
[2022-12-13 11:22:41] [SEVERE ] Key 69 was pressed by player 0
[2022-12-13 11:22:41] [SEVERE ] Key 82 was pressed by player 0
[2022-12-13 11:22:41] [SEVERE ] Key 82 was pressed by player 0
[2022-12-13 11:22:42] [SEVERE ] Key 70 was pressed by player 0
